season,season_type,category,rank,play_game_id,play_game_key,play_play_id,play_sequence,play_play_description,play_play_type_code,play_play_type,play_quarter,play_down,play_yards_to_go,play_possession_team_id,play_game_clock,play_yardline,play_yardline_number,play_yardline_side,play_absolute_yardline_number,play_time_of_day_utc,play_is_st_play,play_is_penalty,play_is_scoring,play_is_goal_to_go,play_is_end_quarter,play_is_change_of_possession,play_home_score,play_visitor_score,play_start_game_clock,play_end_game_clock,play_play_direction,play_play_state,play_pre_snap_home_score,play_pre_snap_visitor_score,play_is_big_play,play_actual_yards_to_go,play_actual_yardline_for_first_down,leader_player_name,leader_first_name,leader_last_name,leader_short_name,leader_gsis_id,leader_esb_id,leader_team_id,leader_team_abbr,leader_jersey_number,leader_position,leader_position_group,leader_week,leader_headshot,leader_max_speed,leader_in_play_dist,leader_yards,leader_time,leader_season_avg,leader_team_avg
2026,PRE,avg_yac_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,avg_yac_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,avg_yac_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,avg_yac_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,avg_yac_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,completion_pct_above_expected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,completion_pct_above_expected,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,completion_pct_above_expected,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,completion_pct_above_expected,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,completion_pct_above_expected,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,fastest_ball_carriers,1,2026082952,60498,161,161,"(13:13) (Shotgun) T.Bagent pass deep right to Z.Thomas for 97 yards, TOUCHDOWN.",2,play_type_pass,1,1,10,0810,13:13,CHI 3,3,CHI,107,2026-08-29T22:09:14.000Z,false,false,true,false,false,false,0,6,13:13,13:02,left,APPROVED,0,0,true,10.0,97.39,Zavion Thomas,Zavion,Thomas,Z.Thomas,00-0041051,THO417520,0810,CHI,81,WR,WR,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lhodk54zsmznu4yxjoux,21.9886364125,100.16,97,,,
2026,PRE,fastest_ball_carriers,2,2026082860,60496,1224,1224,"(10:56) (Shotgun) E.Hull right guard for 47 yards, TOUCHDOWN.",2,play_type_rush,2,2,10,3800,10:56,GB 47,47,GB,57,2026-08-29T00:51:40.000Z,false,false,true,false,false,false,10,16,10:56,10:50,left,APPROVED,10,10,true,10.48,47.05,Evan Hull,Evan,Hull,E.Hull,00-0038397,HUL084697,3800,AZ,43,RB,RB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xyyujk9mvvzegaiefp51,21.6204545935,56.47,47,,,
2026,PRE,fastest_ball_carriers,3,2026082860,60496,1769,1769,"(4:22) J.Browning punts 50 yards to GB 19, Center-C.Kreiter. W.Sheppard for 81 yards, TOUCHDOWN.",2,play_type_punt,2,4,16,3800,04:22,AZ 31,31,AZ,79,2026-08-29T01:14:51.000Z,true,false,true,false,false,true,23,17,4:23,4:06,left,APPROVED,17,17,true,15.73,63.48,Will Sheppard,Will,Sheppard,W.Sheppard,00-0040753,SHE562710,1800,GB,82,WR,WR,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vwyhqfyyxngoljurvrjx,21.5386364115,101.49000000000001,81,,,
2026,PRE,fastest_ball_carriers,4,2026082857,60493,701,701,J.Myers kicks 68 yards from SEA 35 to KC -3. B.Smith pushed ob at SEA 46 for 57 yards (A.Fuller).,32,play_type_kickoff,1,0,0,4600,04:42,SEA 35,35,SEA,75,2026-08-29T00:34:46.000Z,true,false,false,false,false,true,0,3,4:42,4:35,left,APPROVED,0,3,true,,,Brashard Smith,Brashard,Smith,B.Smith,00-0040078,SMI082538,2310,KC,24,RB,RB,3,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xnf4x6b9a2yunsc0gaej,21.190909138,73.19,57,,,
2026,PRE,fastest_ball_carriers,5,2026081451,60457,1994,1994,"(1:41) (Shotgun) C.Rush pass short left intended for C.Blair INTERCEPTED by J.Barron (K.Reid) at DEN 3. J.Barron for 97 yards, TOUCHDOWN.",2,play_type_pass,2,3,6,0200,01:41,DEN 7,7,DEN,103,2026-08-15T00:21:57.000Z,false,false,true,false,false,true,0,23,1:41,1:28,right,APPROVED,0,17,true,6.05,108.16,Jahdae Barron,Jahdae,Barron,J.Barron,00-0040720,BAR659317,1400,DEN,23,CB,DB,1,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ashvve6dr35gtgdyjo10,21.150000047,103.75999999999999,97,,,
