season,row_count,generated_at_utc,source
2013,34,2026-09-10 03:17:07 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2014,33,2026-09-10 03:18:00 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2015,35,2026-09-10 03:18:52 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2016,34,2026-09-10 03:19:57 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2017,34,2026-09-10 03:21:43 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2018,34,2026-09-14 21:45:13 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2019,34,2026-09-14 21:21:45 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2020,34,2026-09-14 21:50:43 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2021,34,2026-09-14 22:06:59 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2022,34,2026-09-14 21:04:33 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2023,34,2026-09-14 21:27:00 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2024,34,2026-09-14 21:32:23 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2025,34,2026-09-14 21:37:48 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
2026,34,2026-09-20 16:28:51 UTC,https://raw.githubusercontent.com/sportsdataverse/nfl-ngs-raw/main/ngs
